grid_id,target_year,target_is_hotspot,predicted_hotspot,predicted_probability_stage9,confusion_type,log_previous_count,previous_hotspot,shap_log_previous_count,shap_previous_hotspot
R073_C060,2024,0,0,8.852897499702268e-05,True negative,1.791759469228055,0,1.7505014115889328,-0.0024816942738633083
R009_C023,2024,0,0,0.0002477300319792436,True negative,1.9459101490553128,0,2.779670312392786,-0.0024816942738633083
R022_C058,2024,0,0,0.0006039490586071061,True negative,2.079441541679836,0,3.6711769650017096,-0.0024816942738633083
R076_C095,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R119_C070,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R045_C083,2024,1,1,0.9846554694251088,True positive,3.80666248977032,1,15.202764672455636,0.03887987695719184
R077_C083,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R020_C053,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R062_C103,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R019_C053,2024,0,0,0.058211331684448954,True negative,2.772588722239781,0,8.298892669606905,-0.0024816942738633083
R042_C069,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R170_C058,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R045_C106,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R034_C065,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R055_C046,2024,0,0,8.852897499702268e-05,True negative,1.791759469228055,0,1.7505014115889328,-0.0024816942738633083
R045_C098,2024,0,0,0.0006039490586071061,True negative,2.079441541679836,0,3.6711769650017096,-0.0024816942738633083
R046_C084,2024,0,1,0.9540303661236091,False positive,3.6375861597263857,1,14.073946421778702,0.03887987695719184
R162_C048,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R054_C072,2024,0,0,0.1629605820634127,True negative,2.9444389791664403,0,9.446230717173501,-0.0024816942738633083
R067_C093,2024,0,0,0.024717696654622916,True negative,2.639057329615259,0,7.4073860169979895,-0.0024816942738633083
R007_C023,2024,0,0,0.024717696654622916,True negative,2.639057329615259,0,7.4073860169979895,-0.0024816942738633083
R028_C063,2024,0,0,0.008974292080567959,True negative,2.4849066497880004,0,6.378217116194133,-0.0024816942738633083
R023_C037,2024,0,0,8.852897499702268e-05,True negative,1.791759469228055,0,1.7505014115889328,-0.0024816942738633083
R016_C046,2024,1,1,0.9954077445379951,True positive,3.9889840465642745,1,16.42001312318418,0.03887987695719184
R051_C057,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R031_C087,2024,1,1,0.9998776088150708,True positive,4.532599493153256,1,20.049397776258214,0.03887987695719184
R106_C071,2024,0,0,0.0013249536430650108,True negative,2.19722457733622,0,4.457541562781362,-0.0024816942738633083
R048_C086,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R079_C079,2024,1,1,0.9867219015643443,True positive,3.828641396489095,1,15.349504260590962,0.03887987695719184
R025_C087,2024,0,0,0.1629605820634127,True negative,2.9444389791664403,0,9.446230717173501,-0.0024816942738633083
R028_C071,2024,0,0,8.65629632656729e-07,True negative,1.0986122886681096,0,-2.8772142930162667,-0.0024816942738633083
R167_C021,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R096_C085,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
R041_C072,2024,0,0,0.0013249536430650108,True negative,2.19722457733622,0,4.457541562781362,-0.0024816942738633083
R040_C081,2024,0,0,8.852897499702268e-05,True negative,1.791759469228055,0,1.7505014115889328,-0.0024816942738633083
R046_C064,2024,0,0,0.0002477300319792436,True negative,1.9459101490553128,0,2.779670312392786,-0.0024816942738633083
R030_C099,2024,0,0,0.005039993971908603,True negative,2.3978952727983707,0,5.797295881761715,-0.0024816942738633083
R034_C045,2024,0,1,0.612476721689788,False positive,3.258096538021482,0,11.540328553377677,-0.0024816942738633083
R085_C053,2024,1,1,0.9999964431040355,True positive,5.062595033026967,1,23.5878507225184,0.03887987695719184
R140_C058,2024,0,0,5.7767006900864226e-08,True negative,0.6931471805599453,0,-5.584254444208691,-0.0024816942738633083
R119_C066,2024,0,0,5.64791947838045e-10,True negative,0.0,0,-10.21197014881389,-0.0024816942738633083
