grid_id,hotspot_2020,hotspot_2021,hotspot_2022,hotspot_2023,hotspot_2024,hotspot_years,hotspot_proportion,persistence_score,persistence_category,longest_hotspot_run,early_hotspot_years,late_hotspot_years,early_hotspot_rate,late_hotspot_rate,hotspot_change_score,collision_count_2020,collision_count_2021,collision_count_2022,collision_count_2023,collision_count_2024,early_mean_collision_count,late_mean_collision_count,collision_count_change,pattern_category
R004_C021,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,5,8,5,7,3.5,6.0,2.5,Never hotspot
R004_C022,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,27,19,27,26,24,23.0,25.0,2.0,Never hotspot
R004_C023,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,7,14,13,14,15,10.5,14.5,4.0,Never hotspot
R004_C024,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.5,0.5,Never hotspot
R005_C015,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.5,0.5,Never hotspot
R005_C016,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,3,1,1,3,1,2.0,2.0,0.0,Never hotspot
R005_C017,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,12,15,18,11,11,13.5,11.0,-2.5,Never hotspot
R005_C018,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,22,14,23,19,23,18.0,21.0,3.0,Never hotspot
R005_C019,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,6,11,11,11,8,8.5,9.5,1.0,Never hotspot
R005_C020,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,9,9,7,9,5,9.0,7.0,-2.0,Never hotspot
R005_C021,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,2,5,3,2,5,3.5,3.5,0.0,Never hotspot
R005_C022,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,13,20,16,9,17,16.5,13.0,-3.5,Never hotspot
R005_C023,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,1,3,2,0,3,2.0,1.5,-0.5,Never hotspot
R005_C024,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,1,0,2,4,2,0.5,3.0,2.5,Never hotspot
R005_C025,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,Never hotspot
R005_C040,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0.0,0.5,0.5,Never hotspot
R005_C041,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,0,4,0,2,3,2.0,2.5,0.5,Never hotspot
R005_C042,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,0,1,2,1,1,0.5,1.0,0.5,Never hotspot
R006_C017,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,3,7,8,8,8,5.0,8.0,3.0,Never hotspot
R006_C018,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,0,0,0,2,2,0.0,2.0,2.0,Never hotspot
R006_C019,0,0,0,0,0,0,0.0,0.0,Never hotspot,0,0,0,0.0,0.0,0.0,17,5,10,8,7,11.0,7.5,-3.5,Never hotspot
R006_C020,1,1,1,1,1,5,1.0,1.0,Persistent hotspot,5,2,2,1.0,1.0,0.0,40,44,50,52,45,42.0,48.5,6.5,Persistent
